DIRECTORIO,SECUENCIA_P,ORDEN,CLASE,MES,ANO,FEX_C,P455,P456,P456S1,P457,P458,P459,P460,P461,P759,P758,P758S1A1,P758S2A1,P758S4A1,P757,P757S2A1,P757S3A1,P464,P465,P466,P467,P468,P469,AREA
7031228,1,1,1,04,2022,1229.9487853,2,2,,,,,,,,,,,,,,,,,,3,2,2,99
7031228,1,2,1,04,2022,1229.9487853,2,2,,,,,,,,,,,,,,,,,,3,2,2,99
7031228,1,3,1,04,2022,1229.9487853,2,2,,,,,,,,,,,,,,,,,,3,2,2,99
7031229,1,1,1,04,2022,751.41382752,2,2,,,,,,,,,,,,,,,,,,3,2,2,99
7031230,1,1,1,04,2022,893.6458841,2,2,,,,,,,,,,,,,,,,,,6,2,2,99
7031230,1,2,1,04,2022,893.6458841,2,2,,,,,,,,,,,,,,,,,,6,2,2,99
7031230,1,3,1,04,2022,893.6458841,2,2,,,,,,,,,,,,,,,,,,7,2,2,99
7031231,1,1,1,04,2022,906.96207137,2,2,,,,,,,,,,,,,,,,,,3,2,2,99
7031231,1,2,1,04,2022,906.96207137,2,2,,,,,,,,,,,,,,,,,,3,2,2,99
7031231,1,3,1,04,2022,906.96207137,2,2,,,,,,,,,,,,,,,,,,7,2,2,99
7031232,1,1,1,04,2022,461.88156076,2,2,,,,,,,,,,,,,,,,,,6,2,2,99
7031232,1,2,1,04,2022,461.88156076,2,2,,,,,,,,,,,,,,,,,,3,2,2,99
7031233,1,1,1,04,2022,795.44918408,2,2,,,,,,,,,,,,,,,,,,6,2,2,99
7031233,1,2,1,04,2022,795.44918408,1,,,1,1,1,1,,13,3,,,,,,,4,,,,,2,99
7031234,1,1,1,04,2022,687.89601937,2,2,,,,,,,,,,,,,,,,,,8,2,2,99
7031234,1,2,1,04,2022,687.89601937,2,2,,,,,,,,,,,,,,,,,,1,2,2,99
7031234,1,3,1,04,2022,687.89601937,2,1,1,2,2,1,1,,17,3,,,,,,,1,6,1,,,2,99
7031234,1,4,1,04,2022,687.89601937,2,2,,,,,,,,,,,,,,,,,,7,2,2,99
7031235,1,1,1,04,2022,1351.100334,2,2,,,,,,,,,,,,,,,,,,6,2,2,99
7031236,1,1,1,04,2022,645.84488756,2,2,,,,,,,,,,,,,,,,,,5,2,2,99
7031236,1,2,1,04,2022,645.84488756,2,2,,,,,,,,,,,,,,,,,,6,2,2,99
7031237,1,1,1,04,2022,751.41382752,2,1,2,2,2,2,,3,19,3,,,,,,,4,4,2,,,2,99
7031238,1,1,1,04,2022,783.85392431,2,2,,,,,,,,,,,,,,,,,,6,2,2,99
7031238,1,2,1,04,2022,783.85392431,2,1,1,1,1,2,,1,18,1,120000,,,,,,1,6,1,,,2,99
7031238,1,3,1,04,2022,783.85392431,2,2,,,,,,,,,,,,,,,,,,3,2,2,99
7031239,1,1,1,04,2022,1486.0735303,2,2,,,,,,,,,,,,,,,,,,3,2,2,99
7031239,1,2,1,04,2022,1486.0735303,2,2,,,,,,,,,,,,,,,,,,3,2,2,99
7031239,1,3,1,04,2022,1486.0735303,2,1,1,2,2,1,1,,3,3,,,,,,,5,6,1,,,2,99
7031239,1,4,1,04,2022,1486.0735303,2,2,,,,,,,,,,,,,,,,,,2,2,2,99
7031241,1,1,1,04,2022,1324.9993597,2,2,,,,,,,,,,,,,,,,,,3,2,2,99
7031241,1,2,1,04,2022,1324.9993597,2,2,,,,,,,,,,,,,,,,,,6,2,2,99
7031241,1,3,1,04,2022,1324.9993597,2,2,,,,,,,,,,,,,,,,,,3,2,2,99
7031242,1,1,1,04,2022,910.8575959,2,2,,,,,,,,,,,,,,,,,,3,2,2,99
7031242,1,2,1,04,2022,910.8575959,2,2,,,,,,,,,,,,,,,,,,7,2,2,99
7031243,1,1,1,04,2022,1460.636973,2,1,1,1,1,2,,3,19,1,50000,,,,,,1,1,1,,,2,99
7031243,1,2,1,04,2022,1460.636973,2,2,,,,,,,,,,,,,,,,,,3,2,2,99
7031244,1,1,1,04,2022,448.53197657,2,2,,,,,,,,,,,,,,,,,,6,2,2,99
7031244,1,2,1,04,2022,448.53197657,2,2,,,,,,,,,,,,,,,,,,1,2,2,99
7031244,1,3,1,04,2022,448.53197657,2,2,,,,,,,,,,,,,,,,,,2,2,2,99
7031244,1,4,1,04,2022,448.53197657,2,1,2,3,2,2,,1,9,3,,,,,,,4,4,2,,,2,99
7031245,1,1,1,04,2022,645.84488756,2,2,,,,,,,,,,,,,,,,,,6,2,2,99
7031245,1,2,1,04,2022,645.84488756,2,2,,,,,,,,,,,,,,,,,,6,2,2,99
7031246,1,1,1,04,2022,1351.100334,2,2,,,,,,,,,,,,,,,,,,6,2,2,99
7031248,1,1,1,04,2022,818.84167855,2,2,,,,,,,,,,,,,,,,,,5,2,2,99
7031248,1,2,1,04,2022,818.84167855,2,2,,,,,,,,,,,,,,,,,,6,2,2,99
7031248,1,3,1,04,2022,818.84167855,2,2,,,,,,,,,,,,,,,,,,5,2,2,99
7031249,1,1,1,04,2022,550.88763963,1,,,1,1,2,,1,17,3,,,,,,,6,,,,,2,99
7031249,1,2,1,04,2022,550.88763963,2,2,,,,,,,,,,,,,,,,,,3,2,2,99
7031250,1,1,1,04,2022,832.20036821,2,2,,,,,,,,,,,,,,,,,,2,2,2,99
7031250,1,2,1,04,2022,832.20036821,2,2,,,,,,,,,,,,,,,,,,3,2,2,99
7031251,1,1,1,04,2022,1084.9814508,2,2,,,,,,,,,,,,,,,,,,3,2,2,99
7031252,1,1,2,04,2022,55.464422065,2,2,,,,,,,,,,,,,,,,,,6,2,2,99
7031253,1,1,2,04,2022,115.58098625,2,2,,,,,,,,,,,,,,,,,,6,2,2,99
7031253,1,2,2,04,2022,115.58098625,2,2,,,,,,,,,,,,,,,,,,6,2,2,99
7031254,1,1,2,04,2022,98.957010637,2,2,,,,,,,,,,,,,,,,,,5,2,2,99
7031255,1,1,2,04,2022,90.018554287,2,2,,,,,,,,,,,,,,,,,,6,2,2,99
7031255,1,2,2,04,2022,90.018554287,2,2,,,,,,,,,,,,,,,,,,6,2,2,99
7031256,1,1,2,04,2022,98.957010637,2,2,,,,,,,,,,,,,,,,,,6,2,2,99
7031257,1,1,2,04,2022,79.323232283,2,2,,,,,,,,,,,,,,,,,,5,2,2,99
7031258,1,1,2,04,2022,79.849667267,2,2,,,,,,,,,,,,,,,,,,6,2,2,99
7031259,1,1,2,04,2022,152.82909325,2,2,,,,,,,,,,,,,,,,,,3,2,2,99
7031259,1,2,2,04,2022,152.82909325,2,2,,,,,,,,,,,,,,,,,,2,2,2,99
7031260,1,1,2,04,2022,166.17820232,2,2,,,,,,,,,,,,,,,,,,5,2,2,99
7031260,1,2,2,04,2022,166.17820232,2,2,,,,,,,,,,,,,,,,,,3,2,2,99
7031260,1,3,2,04,2022,166.17820232,2,2,,,,,,,,,,,,,,,,,,5,2,2,99
7031261,1,1,2,04,2022,77.313588975,2,2,,,,,,,,,,,,,,,,,,5,2,2,99
7031261,1,2,2,04,2022,77.313588975,2,2,,,,,,,,,,,,,,,,,,5,2,2,99
7031262,1,1,2,04,2022,96.070806989,2,2,,,,,,,,,,,,,,,,,,6,2,2,99
7031263,1,1,2,04,2022,150.81944994,2,2,,,,,,,,,,,,,,,,,,3,2,2,99
7031263,1,2,2,04,2022,150.81944994,2,2,,,,,,,,,,,,,,,,,,2,2,2,99
7031263,1,5,2,04,2022,150.81944994,2,2,,,,,,,,,,,,,,,,,,5,2,2,99
7031264,1,1,2,04,2022,125.5576444,2,2,,,,,,,,,,,,,,,,,,3,2,2,99
7031264,1,2,2,04,2022,125.5576444,2,2,,,,,,,,,,,,,,,,,,5,2,2,99
7031265,1,1,2,04,2022,98.957010637,2,2,,,,,,,,,,,,,,,,,,5,2,2,99
7031266,1,1,2,04,2022,101.69883418,2,2,,,,,,,,,,,,,,,,,,3,2,2,99
7031266,1,2,2,04,2022,101.69883418,2,2,,,,,,,,,,,,,,,,,,6,2,2,99
7031267,1,1,2,04,2022,90.018554287,2,2,,,,,,,,,,,,,,,,,,6,2,2,99
7031267,1,2,2,04,2022,90.018554287,2,2,,,,,,,,,,,,,,,,,,6,2,2,99
7031268,1,1,2,04,2022,91.72217603,2,2,,,,,,,,,,,,,,,,,,5,2,2,99
7031268,1,2,2,04,2022,91.72217603,2,2,,,,,,,,,,,,,,,,,,5,1,2,99
7031269,1,1,2,04,2022,121.20901344,2,2,,,,,,,,,,,,,,,,,,3,2,2,99
7031269,1,2,2,04,2022,121.20901344,2,2,,,,,,,,,,,,,,,,,,5,2,2,99
7031269,1,3,2,04,2022,121.20901344,2,2,,,,,,,,,,,,,,,,,,6,2,2,99
7031270,1,1,2,04,2022,55.464422065,2,2,,,,,,,,,,,,,,,,,,5,2,2,99
7031271,1,1,2,04,2022,179.9360376,2,2,,,,,,,,,,,,,,,,,,5,2,2,99
7031271,1,2,2,04,2022,179.9360376,2,2,,,,,,,,,,,,,,,,,,5,2,2,99
7031271,1,3,2,04,2022,179.9360376,2,2,,,,,,,,,,,,,,,,,,5,2,2,99
7031272,1,1,2,04,2022,136.60309176,2,2,,,,,,,,,,,,,,,,,,5,2,2,99
7031272,1,2,2,04,2022,136.60309176,2,2,,,,,,,,,,,,,,,,,,6,2,2,99
7031272,1,3,2,04,2022,136.60309176,2,2,,,,,,,,,,,,,,,,,,5,2,2,99
7031272,1,4,2,04,2022,136.60309176,2,2,,,,,,,,,,,,,,,,,,5,2,2,99
7031273,1,1,2,04,2022,125.03120941,2,2,,,,,,,,,,,,,,,,,,3,2,2,99
7031273,1,2,2,04,2022,125.03120941,2,2,,,,,,,,,,,,,,,,,,5,2,2,99
7031275,1,1,2,04,2022,118.98701686,2,2,,,,,,,,,,,,,,,,,,3,2,2,99
7031275,1,2,2,04,2022,118.98701686,2,2,,,,,,,,,,,,,,,,,,2,2,2,99
7031275,1,3,2,04,2022,118.98701686,2,2,,,,,,,,,,,,,,,,,,6,2,2,99
7031276,1,1,2,04,2022,122.03860101,2,2,,,,,,,,,,,,,,,,,,2,2,2,99
7031276,1,2,2,04,2022,122.03860101,2,2,,,,,,,,,,,,,,,,,,5,2,2,99
7031277,1,1,2,04,2022,115.93369796,2,2,,,,,,,,,,,,,,,,,,5,2,2,99
7031277,1,2,2,04,2022,115.93369796,2,2,,,,,,,,,,,,,,,,,,5,2,2,99
7031278,1,1,2,04,2022,116.56541994,2,2,,,,,,,,,,,,,,,,,,7,2,2,99
7031278,1,2,2,04,2022,116.56541994,2,2,,,,,,,,,,,,,,,,,,5,2,2,99
7031279,1,1,2,04,2022,124.45017298,2,2,,,,,,,,,,,,,,,,,,5,2,2,99
7031280,1,1,2,04,2022,122.03860101,2,2,,,,,,,,,,,,,,,,,,6,2,2,99
7031280,1,2,2,04,2022,122.03860101,2,2,,,,,,,,,,,,,,,,,,6,2,2,99
7031281,1,1,2,04,2022,115.28496839,2,2,,,,,,,,,,,,,,,,,,6,2,2,99
7031282,1,1,2,04,2022,108.02226514,2,2,,,,,,,,,,,,,,,,,,5,2,2,99
7031282,1,2,2,04,2022,108.02226514,2,2,,,,,,,,,,,,,,,,,,3,2,2,99
7031283,1,1,2,04,2022,151.30089526,2,2,,,,,,,,,,,,,,,,,,2,2,2,99
7031283,1,2,2,04,2022,151.30089526,2,2,,,,,,,,,,,,,,,,,,6,2,2,99
7031284,1,1,2,04,2022,180.5631895,2,2,,,,,,,,,,,,,,,,,,6,2,2,99
7031284,1,2,2,04,2022,180.5631895,2,2,,,,,,,,,,,,,,,,,,6,2,2,99
7031287,1,1,2,04,2022,172.68850763,2,2,,,,,,,,,,,,,,,,,,6,2,2,99
7031287,1,2,2,04,2022,172.68850763,2,2,,,,,,,,,,,,,,,,,,6,2,2,99
7031288,1,1,2,04,2022,173.39919486,2,2,,,,,,,,,,,,,,,,,,5,2,2,99
7031288,1,2,2,04,2022,173.39919486,2,2,,,,,,,,,,,,,,,,,,6,2,2,99
7031289,1,1,2,04,2022,172.92652563,2,2,,,,,,,,,,,,,,,,,,5,2,2,99
7031290,1,1,2,04,2022,107.79705081,2,2,,,,,,,,,,,,,,,,,,6,2,2,99
7031291,1,1,2,04,2022,169.50281993,2,2,,,,,,,,,,,,,,,,,,6,2,2,99
7031291,1,2,2,04,2022,169.50281993,2,2,,,,,,,,,,,,,,,,,,6,2,2,99
7031292,1,1,2,04,2022,164.05617846,2,2,,,,,,,,,,,,,,,,,,5,2,2,99
7031292,1,2,2,04,2022,164.05617846,2,2,,,,,,,,,,,,,,,,,,6,2,2,99
7031293,1,1,2,04,2022,129.69558944,2,2,,,,,,,,,,,,,,,,,,6,2,2,99
7031294,1,1,2,04,2022,150.58768996,2,2,,,,,,,,,,,,,,,,,,6,2,2,99
7031294,1,2,2,04,2022,150.58768996,2,2,,,,,,,,,,,,,,,,,,6,2,2,99
7031295,1,1,2,04,2022,121.05237906,2,2,,,,,,,,,,,,,,,,,,5,2,2,99
7031296,1,1,2,04,2022,74.876969788,2,2,,,,,,,,,,,,,,,,,,5,2,2,99
7031297,1,1,1,04,2022,378.42958434,2,1,1,1,2,1,3,,1,3,,,,,,,1,1,5,,,2,05
7031298,1,1,1,04,2022,344.12343773,2,2,,,,,,,,,,,,,,,,,,3,2,2,05
7031298,1,2,1,04,2022,344.12343773,2,2,,,,,,,,,,,,,,,,,,5,2,2,05
7031299,1,1,1,04,2022,349.14594649,2,2,,,,,,,,,,,,,,,,,,1,2,2,05
7031299,1,2,1,04,2022,349.14594649,2,2,,,,,,,,,,,,,,,,,,3,2,2,05
7031299,1,3,1,04,2022,349.14594649,2,2,,,,,,,,,,,,,,,,,,3,2,2,05
7031300,1,1,1,04,2022,80.44650005,2,2,,,,,,,,,,,,,,,,,,1,2,2,99
7031300,1,2,1,04,2022,80.44650005,2,2,,,,,,,,,,,,,,,,,,2,2,2,99
7031300,1,3,1,04,2022,80.44650005,2,2,,,,,,,,,,,,,,,,,,5,2,2,99
7031300,2,1,1,04,2022,80.44650005,2,2,,,,,,,,,,,,,,,,,,1,2,2,99
7031301,1,1,1,04,2022,52.425856298,2,2,,,,,,,,,,,,,,,,,,3,2,2,99
7031301,2,1,1,04,2022,52.425856298,2,2,,,,,,,,,,,,,,,,,,5,2,2,99
7031301,3,1,1,04,2022,52.425856298,2,2,,,,,,,,,,,,,,,,,,5,2,2,99
7031302,1,1,1,04,2022,68.03152736,2,2,,,,,,,,,,,,,,,,,,1,2,2,99
7031302,1,2,1,04,2022,68.03152736,2,2,,,,,,,,,,,,,,,,,,5,2,2,99
7031303,1,1,1,04,2022,67.987361301,2,2,,,,,,,,,,,,,,,,,,5,2,2,99
7031304,1,1,1,04,2022,58.626182517,2,2,,,,,,,,,,,,,,,,,,6,2,2,99
7031304,1,2,1,04,2022,58.626182517,2,2,,,,,,,,,,,,,,,,,,5,2,2,99
7031305,1,1,1,04,2022,96.711781786,2,2,,,,,,,,,,,,,,,,,,5,2,2,99
7031305,1,2,1,04,2022,96.711781786,2,2,,,,,,,,,,,,,,,,,,5,2,2,99
7031306,1,1,1,04,2022,58.626182517,2,2,,,,,,,,,,,,,,,,,,1,2,2,99
7031306,1,2,1,04,2022,58.626182517,2,2,,,,,,,,,,,,,,,,,,8,2,2,99
7031307,1,1,1,04,2022,449.52043315,2,2,,,,,,,,,,,,,,,,,,1,2,2,05
7031308,1,1,1,04,2022,406.28300672,2,2,,,,,,,,,,,,,,,,,,1,2,2,05
7031308,1,2,1,04,2022,406.28300672,2,2,,,,,,,,,,,,,,,,,,1,2,2,05
7031309,1,1,1,04,2022,420.47731593,2,2,,,,,,,,,,,,,,,,,,3,2,2,05
7031310,1,1,1,04,2022,68.03152736,2,2,,,,,,,,,,,,,,,,,,5,2,2,99
7031310,1,2,1,04,2022,68.03152736,2,2,,,,,,,,,,,,,,,,,,5,2,2,99
7031311,1,1,1,04,2022,378.5357815,2,2,,,,,,,,,,,,,,,,,,2,2,2,05
7031311,1,2,1,04,2022,378.5357815,2,2,,,,,,,,,,,,,,,,,,1,2,2,05
7031312,1,1,1,04,2022,449.52043315,2,2,,,,,,,,,,,,,,,,,,6,2,2,05
7031313,1,1,1,04,2022,378.5357815,2,2,,,,,,,,,,,,,,,,,,3,2,2,05
7031313,1,2,1,04,2022,378.5357815,2,2,,,,,,,,,,,,,,,,,,3,2,2,05
7031314,1,1,1,04,2022,45.603241405,2,2,,,,,,,,,,,,,,,,,,5,2,2,99
7031314,1,2,1,04,2022,45.603241405,2,2,,,,,,,,,,,,,,,,,,6,2,2,99
7031314,1,3,1,04,2022,45.603241405,2,2,,,,,,,,,,,,,,,,,,5,2,2,99
7031315,1,1,1,04,2022,429.35775598,2,2,,,,,,,,,,,,,,,,,,2,2,2,05
7031316,1,1,1,04,2022,405.8393984,1,,,2,2,2,,4,19,2,,1125000,,3,,300000,3,,,,,2,05
7031316,1,2,1,04,2022,405.8393984,2,1,1,2,2,2,,1,19,1,3000000,,,,,,3,1,3,,,2,05
7031317,1,1,1,04,2022,428.90862899,2,2,,,,,,,,,,,,,,,,,,2,2,2,05
7031317,1,2,1,04,2022,428.90862899,2,2,,,,,,,,,,,,,,,,,,1,2,2,05
7031318,1,1,1,04,2022,53.318519213,2,2,,,,,,,,,,,,,,,,,,6,2,2,99
7031318,1,2,1,04,2022,53.318519213,2,2,,,,,,,,,,,,,,,,,,8,2,2,99
7031319,1,1,1,04,2022,449.52043315,2,2,,,,,,,,,,,,,,,,,,6,2,2,05
7031321,1,1,1,04,2022,312.39382674,2,1,1,2,1,1,1,,19,3,,,,,,,4,6,1,,,2,05
7031321,1,2,1,04,2022,312.39382674,2,2,,,,,,,,,,,,,,,,,,6,2,2,05
7031321,1,3,1,04,2022,312.39382674,2,2,,,,,,,,,,,,,,,,,,3,1,2,05
7031321,1,4,1,04,2022,312.39382674,2,1,1,2,1,2,,1,12,1,300000,,,,,,4,6,1,,,2,05
7031322,1,1,1,04,2022,316.25134926,2,2,,,,,,,,,,,,,,,,,,6,2,2,05
7031322,1,2,1,04,2022,316.25134926,2,2,,,,,,,,,,,,,,,,,,7,2,2,05
7031322,1,3,1,04,2022,316.25134926,2,2,,,,,,,,,,,,,,,,,,7,2,2,05
7031323,1,1,1,04,2022,408.65493922,2,2,,,,,,,,,,,,,,,,,,6,2,2,05
7031324,1,1,1,04,2022,344.12343773,2,2,,,,,,,,,,,,,,,,,,7,2,2,05
7031324,1,2,1,04,2022,344.12343773,2,2,,,,,,,,,,,,,,,,,,3,2,2,05
7031325,1,1,1,04,2022,369.153624,2,2,,,,,,,,,,,,,,,,,,5,2,2,05
7031325,1,2,1,04,2022,369.153624,2,2,,,,,,,,,,,,,,,,,,3,2,2,05
7031325,1,3,1,04,2022,369.153624,2,2,,,,,,,,,,,,,,,,,,7,2,2,05
7031326,1,1,1,04,2022,82.693243142,2,2,,,,,,,,,,,,,,,,,,3,2,2,99
7031328,1,1,1,04,2022,389.76183022,2,2,,,,,,,,,,,,,,,,,,3,2,2,05
7031329,1,1,1,04,2022,52.763564265,2,2,,,,,,,,,,,,,,,,,,5,2,2,99
7031329,1,2,1,04,2022,52.763564265,2,2,,,,,,,,,,,,,,,,,,5,2,2,99
7031330,1,1,1,04,2022,327.15851649,2,2,,,,,,,,,,,,,,,,,,5,2,2,05
7031330,1,2,1,04,2022,327.15851649,2,2,,,,,,,,,,,,,,,,,,6,2,2,05
7031330,1,3,1,04,2022,327.15851649,2,2,,,,,,,,,,,,,,,,,,8,2,2,05
7031330,1,4,1,04,2022,327.15851649,2,2,,,,,,,,,,,,,,,,,,8,1,2,05
7031330,1,5,1,04,2022,327.15851649,2,2,,,,,,,,,,,,,,,,,,8,2,2,05
7031332,1,1,1,04,2022,1258.7501516,2,2,,,,,,,,,,,,,,,,,,6,2,2,05
7031332,1,2,1,04,2022,1258.7501516,2,2,,,,,,,,,,,,,,,,,,5,2,2,05
7031332,1,3,1,04,2022,1258.7501516,2,2,,,,,,,,,,,,,,,,,,5,2,2,05
7031333,1,1,1,04,2022,378.42958434,2,2,,,,,,,,,,,,,,,,,,5,2,2,05
7031334,1,1,1,04,2022,379.01863325,2,2,,,,,,,,,,,,,,,,,,5,2,2,05
7031334,1,2,1,04,2022,379.01863325,2,2,,,,,,,,,,,,,,,,,,5,2,2,05
7031334,1,3,1,04,2022,379.01863325,2,2,,,,,,,,,,,,,,,,,,6,2,2,05
7031335,1,1,1,04,2022,1561.559813,2,2,,,,,,,,,,,,,,,,,,1,2,2,05
7031337,1,1,1,04,2022,365.25545856,2,2,,,,,,,,,,,,,,,,,,5,2,2,05
7031337,1,2,1,04,2022,365.25545856,2,2,,,,,,,,,,,,,,,,,,3,2,2,05
7031338,1,1,1,04,2022,407.28229167,2,2,,,,,,,,,,,,,,,,,,3,2,2,05
7031338,1,2,1,04,2022,407.28229167,2,2,,,,,,,,,,,,,,,,,,7,2,2,05
7031339,1,1,1,04,2022,386.42198039,2,2,,,,,,,,,,,,,,,,,,3,2,2,05
7031340,1,1,1,04,2022,1649.4003555,2,2,,,,,,,,,,,,,,,,,,1,2,2,05
7031340,1,2,1,04,2022,1649.4003555,2,2,,,,,,,,,,,,,,,,,,7,2,2,05
7031341,1,1,1,04,2022,386.01776609,2,2,,,,,,,,,,,,,,,,,,5,2,2,05
7031341,1,2,1,04,2022,386.01776609,2,2,,,,,,,,,,,,,,,,,,3,2,2,05
7031342,1,1,1,04,2022,1534.3408072,2,1,2,1,2,1,3,,1,3,,,,,,,4,4,2,,,2,05
7031343,1,1,1,04,2022,1218.5312899,2,2,,,,,,,,,,,,,,,,,,6,2,2,05
7031343,1,2,1,04,2022,1218.5312899,2,2,,,,,,,,,,,,,,,,,,2,2,2,05
7031343,1,3,1,04,2022,1218.5312899,2,2,,,,,,,,,,,,,,,,,,6,2,2,05
7031345,1,1,1,04,2022,388.85597807,2,2,,,,,,,,,,,,,,,,,,6,2,2,05
7031345,1,2,1,04,2022,388.85597807,2,2,,,,,,,,,,,,,,,,,,5,2,2,05
7031346,1,1,1,04,2022,1270.7390939,2,2,,,,,,,,,,,,,,,,,,3,2,2,05
7031346,1,2,1,04,2022,1270.7390939,2,2,,,,,,,,,,,,,,,,,,3,2,2,05
7031346,1,3,1,04,2022,1270.7390939,2,2,,,,,,,,,,,,,,,,,,3,2,2,05
7031347,1,1,1,04,2022,72.378887825,2,2,,,,,,,,,,,,,,,,,,6,1,2,99
7031347,1,2,1,04,2022,72.378887825,2,2,,,,,,,,,,,,,,,,,,6,2,2,99
7031347,1,3,1,04,2022,72.378887825,2,2,,,,,,,,,,,,,,,,,,6,1,2,99
7031349,1,1,1,04,2022,383.40186801,2,1,1,4,1,2,,2,1,1,5000000,,,,,,4,4,1,,,2,05
7031349,1,3,1,04,2022,383.40186801,2,2,,,,,,,,,,,,,,,,,,1,2,2,05
7031350,1,1,1,04,2022,1477.2426252,2,2,,,,,,,,,,,,,,,,,,6,2,2,05
7031350,1,2,1,04,2022,1477.2426252,2,2,,,,,,,,,,,,,,,,,,6,2,2,05
7031353,1,1,1,04,2022,634.3302046,2,2,,,,,,,,,,,,,,,,,,7,2,2,05
7031353,1,2,1,04,2022,634.3302046,2,2,,,,,,,,,,,,,,,,,,1,2,2,05
7031353,1,3,1,04,2022,634.3302046,2,2,,,,,,,,,,,,,,,,,,8,2,2,05
7031353,1,4,1,04,2022,634.3302046,2,2,,,,,,,,,,,,,,,,,,3,2,2,05
7031353,1,5,1,04,2022,634.3302046,2,2,,,,,,,,,,,,,,,,,,7,2,2,05
7031354,1,1,1,04,2022,985.70526209,2,2,,,,,,,,,,,,,,,,,,6,2,2,05
7031355,1,1,1,04,2022,919.38417913,2,2,,,,,,,,,,,,,,,,,,6,2,2,05
7031355,1,2,1,04,2022,919.38417913,2,2,,,,,,,,,,,,,,,,,,6,2,2,05
7031356,1,1,1,04,2022,919.38417913,2,2,,,,,,,,,,,,,,,,,,6,2,2,05
7031356,1,2,1,04,2022,919.38417913,2,2,,,,,,,,,,,,,,,,,,1,2,2,05
7031357,1,1,1,04,2022,1010.7360759,2,2,,,,,,,,,,,,,,,,,,6,2,2,05
7031358,1,1,1,04,2022,402.42745745,2,2,,,,,,,,,,,,,,,,,,5,2,2,05
7031358,1,2,1,04,2022,402.42745745,2,1,1,2,1,1,1,,5,3,,,,,,,4,4,1,,,2,05
7031358,1,3,1,04,2022,402.42745745,1,,,1,2,1,2,,1,3,,,,,,,5,,,,,2,05
7031359,1,1,1,04,2022,987.41240447,2,2,,,,,,,,,,,,,,,,,,7,2,2,05
7031361,1,1,1,04,2022,69.822332945,2,2,,,,,,,,,,,,,,,,,,6,1,2,99
7031361,1,2,1,04,2022,69.822332945,2,2,,,,,,,,,,,,,,,,,,1,2,2,99
7031361,1,3,1,04,2022,69.822332945,2,2,,,,,,,,,,,,,,,,,,2,2,2,99
7031362,1,1,1,04,2022,78.206287368,2,2,,,,,,,,,,,,,,,,,,6,2,2,99
7031362,1,2,1,04,2022,78.206287368,2,2,,,,,,,,,,,,,,,,,,6,2,2,99
7031362,1,3,1,04,2022,78.206287368,2,2,,,,,,,,,,,,,,,,,,3,2,2,99
7031362,1,4,1,04,2022,78.206287368,2,2,,,,,,,,,,,,,,,,,,1,2,2,99
7031363,1,1,1,04,2022,435.32612394,2,2,,,,,,,,,,,,,,,,,,6,2,2,05
7031363,1,2,1,04,2022,435.32612394,2,2,,,,,,,,,,,,,,,,,,6,2,2,05
7031364,1,1,1,04,2022,336.59424707,2,1,1,2,1,2,,2,10,2,,70000,,2,98,,4,4,1,,,2,05
7031364,1,2,1,04,2022,336.59424707,2,2,,,,,,,,,,,,,,,,,,7,2,2,05
7031364,1,3,1,04,2022,336.59424707,2,1,1,1,1,2,,1,18,3,,,,,,,4,6,1,,,2,05
7031365,1,1,1,04,2022,407.57889872,2,2,,,,,,,,,,,,,,,,,,3,2,2,05
7031365,1,2,1,04,2022,407.57889872,2,2,,,,,,,,,,,,,,,,,,6,2,2,05
7031366,1,1,1,04,2022,1487.9088626,2,1,2,2,2,2,,4,19,3,,,,,,,4,4,5,,,2,05
7031366,1,2,1,04,2022,1487.9088626,2,1,1,2,1,2,,2,19,1,3000000,,,,,,3,3,5,,,2,05
7031367,1,1,1,04,2022,102.50907892,2,2,,,,,,,,,,,,,,,,,,2,2,2,99
7031367,1,2,1,04,2022,102.50907892,2,2,,,,,,,,,,,,,,,,,,7,2,2,99
7031367,1,3,1,04,2022,102.50907892,2,2,,,,,,,,,,,,,,,,,,3,2,2,99
7031368,1,1,1,04,2022,946.74778676,2,2,,,,,,,,,,,,,,,,,,1,2,2,05
7031368,1,2,1,04,2022,946.74778676,2,2,,,,,,,,,,,,,,,,,,3,2,2,05
7031368,1,3,1,04,2022,946.74778676,2,2,,,,,,,,,,,,,,,,,,7,2,2,05
7031369,1,1,1,04,2022,339.77486734,2,2,,,,,,,,,,,,,,,,,,3,2,2,05
7031369,1,2,1,04,2022,339.77486734,2,2,,,,,,,,,,,,,,,,,,7,2,2,05
7031370,1,1,1,04,2022,1220.6029295,2,1,1,1,1,2,,1,14,1,47000,,,,,,4,3,1,,,2,05
7031370,1,2,1,04,2022,1220.6029295,2,2,,,,,,,,,,,,,,,,,,7,2,2,05
7031371,1,1,1,04,2022,381.65133865,2,2,,,,,,,,,,,,,,,,,,1,2,2,05
7031372,1,1,1,04,2022,1081.1984552,2,2,,,,,,,,,,,,,,,,,,3,2,2,05
7031372,1,2,1,04,2022,1081.1984552,2,2,,,,,,,,,,,,,,,,,,3,2,2,05
7031373,1,1,1,04,2022,1043.396567,2,2,,,,,,,,,,,,,,,,,,3,2,2,05
7031373,1,2,1,04,2022,1043.396567,2,2,,,,,,,,,,,,,,,,,,3,2,2,05
